"category","unigrams","bigrams"
"adventure","holmes and lestrade","mr holmes and said holmes"
"crime","heah and crap","miss emily and takes pains"
"drama","casterbridge and budmouth","mrs hurst and mis ess"
"fantasy","poe and scrooge","allan poe and edgar allan"
"humor","signior and breeders","william shakespeare and complete works"
"religion","aurelius and sexuality","god brother and society ought"
"romance","goggles and pokey","let wear and said henrietta"
"sci-fi","headlights and martian","said herbert and cried princess"
